Date,SPY,FXE,EWJ,GLD,QQQ,DBA,SHV,GAF,USO,XBI,ILF,FEZ,EPP,Mkt-RF,SMB,HML,RF
2015-12-10,192.02008056640625,107.22000122070312,46.70696258544922,102.5500030517578,109.6714096069336,20.411563873291016,106.5955810546875,46.52621078491211,11.369999885559082,67.48472595214844,20.729944229125977,31.66989707946777,32.84415817260742,0.3,0.11,-0.22,0.0
2015-12-11,188.2985382080078,107.62000274658205,45.97956466674805,103.11000061035156,107.147216796875,20.273046493530273,106.6052703857422,43.91770553588867,11.06999969482422,65.08837127685547,20.276273727416992,31.08880043029785,32.07216262817383,-2.03,-0.22,-0.06,0.0
2015-12-14,189.2498779296875,107.58999633789062,46.40068435668945,101.79000091552734,107.95960998535156,20.20378875732422,106.5955810546875,46.184730529785156,11.15999984741211,64.31595611572266,20.211463928222656,31.03432273864746,32.15793991088867,0.29,-1.05,-0.18,0.0
2015-12-15,191.2365875244141,106.94000244140624,46.209266662597656,101.5199966430664,108.61724090576172,20.16421127319336,106.5858917236328,47.0668830871582,11.399999618530273,66.15780639648439,20.60032844543457,31.388427734375,32.217987060546875,1.1,0.03,0.76,0.0
2015-12-16,194.0347595214844,106.93000030517578,47.35779571533203,102.75,110.23234558105469,20.005905151367188,106.5858917236328,47.46527481079102,10.989999771118164,69.05921173095703,21.035478591918945,31.960453033447266,32.98140335083008,1.47,0.01,-0.64,0.0
2015-12-17,191.0780334472656,105.94000244140624,46.89838790893555,100.5,108.62693786621094,19.95643615722656,106.6052703857422,48.07234573364258,10.739999771118164,68.29673767089844,20.785499572753906,31.66082000732422,32.43243408203125,-1.46,0.38,-0.31,0.0
2015-12-18,187.673583984375,106.47000122070312,46.324119567871094,102.04000091552734,106.54319763183594,20.18400001525879,106.61493682861328,47.75009536743164,10.65999984741211,68.67283630371094,20.18368911743164,31.18367958068848,32.60398101806641,-1.7,0.76,-0.4,0.0
2015-12-21,189.2217102050781,106.9499969482422,46.21672821044922,103.1500015258789,107.7266845703125,20.1147403717041,106.61493682861328,47.77922821044922,10.65999984741211,69.46675109863281,20.13137435913086,31.30222129821777,32.95328521728516,0.74,-0.18,-0.06,0.0
2015-12-22,190.93875122070312,107.20999908447266,46.56191635131836,102.61000061035156,108.43482971191406,20.124635696411133,106.6246109008789,48.8960189819336,10.770000457763672,69.06980133056639,20.21556854248047,31.49369812011719,33.155502319335945,0.89,-0.04,0.51,0.0
2015-12-23,193.30322265625,106.95999908447266,47.060523986816406,102.30999755859376,109.24002838134766,20.263153076171875,106.6246109008789,49.32331466674805,11.260000228881836,70.19116973876953,20.63652992248535,32.022537231445305,33.65665435791016,1.3,0.13,0.59,0.0
2015-12-24,192.98416137695312,107.23999786376952,46.485206604003906,103.0500030517578,109.22059631347656,20.263153076171875,106.64496612548828,49.61542892456055,11.300000190734865,70.34004211425781,20.52427291870117,31.940473556518555,33.630279541015625,-0.11,0.3,-0.03,0.0
2015-12-28,192.5431671142578,107.41999816894531,46.52356338500977,102.2699966430664,109.16240692138672,20.16421127319336,106.63524627685548,48.91903686523438,10.93000030517578,69.18887329101561,20.552335739135746,31.876657485961914,33.48081588745117,-0.29,-0.48,-0.38,0.0
2015-12-29,194.5980529785156,107.05999755859376,47.21393966674805,102.1999969482422,110.87943267822266,20.273046493530273,106.65460968017578,49.55638122558594,11.260000228881836,70.9950180053711,20.53650665283203,32.177547454833984,34.166614532470696,1.05,0.09,-0.31,0.0
2015-12-30,193.21875,107.0199966430664,46.9454574584961,101.41999816894531,109.88024139404295,20.36209487915039,106.65460968017578,48.2647933959961,10.93000030517578,70.32019805908203,19.98095703125,31.821941375732425,34.01714324951172,-0.74,-0.17,-0.13,0.0
2015-12-31,191.2859039306641,106.4000015258789,46.485206604003906,101.45999908447266,108.51244354248048,20.39177703857422,106.64496612548828,48.35219192504883,11.0,69.66522216796875,19.952709197998047,31.39339828491211,33.75337600708008,-0.92,-0.24,0.24,0.0
2016-01-04,188.6118621826172,106.0199966430664,45.75647735595703,102.88999938964844,106.22309112548828,20.193893432617188,106.64496612548828,47.07030868530274,10.979999542236328,67.31328582763672,19.46307182312012,30.727783203125,33.19945907592773,-1.59,-0.83,0.53,0.0
2016-01-05,188.9308624267578,105.23999786376952,46.33179092407226,103.18000030517578,106.0387725830078,20.06527137756348,106.65460968017578,47.33261108398438,10.65999984741211,66.70792388916016,19.576066970825195,30.454240798950195,33.02362060546875,0.12,-0.22,0.01,0.0
2016-01-06,186.5476226806641,105.62000274658205,45.52635192871094,104.66999816894531,105.02017211914062,19.9267520904541,106.63524627685548,45.9146728515625,10.109999656677246,63.85978317260742,19.152341842651367,29.93451499938965,32.18835830688477,-1.35,-0.12,0.0,0.0
2016-01-07,182.07205200195312,107.04000091552734,44.83597183227539,106.1500015258789,101.73165130615234,19.847599029541016,106.64496612548828,44.34145736694336,9.899999618530273,61.34906005859375,18.389636993408203,29.51508331298828,31.01898765563965,-2.44,-0.29,0.08,0.0
2016-01-08,180.07351684570312,106.87999725341795,43.87712097167969,105.68000030517578,100.89736938476562,19.916858673095703,106.65460968017578,43.81704711914063,9.800000190734863,60.04904174804688,18.210731506347656,29.21418571472168,30.605754852294922,-1.11,-0.47,-0.03,0.0
2016-01-11,180.2518310546875,106.1999969482422,44.18396377563477,104.73999786376952,101.20780181884766,19.62003517150879,106.64496612548828,42.53517150878906,9.25,56.7047119140625,18.173065185546875,29.37831115722656,30.69367599487305,-0.06,-0.65,0.34,0.0
2016-01-12,181.70611572265625,106.2300033569336,43.953834533691406,104.20999908447266,102.381591796875,19.738765716552734,106.65460968017578,42.51584243774414,9.170000076293944,58.37191390991211,18.286062240600586,29.743032455444336,30.83435249328613,0.71,-0.4,-0.77,0.0
2016-01-13,177.1742706298828,106.52999877929688,43.57029342651367,104.72000122070312,98.85050964355469,19.78823471069336,106.65460968017578,43.38975524902344,9.09000015258789,54.322998046875,18.022409439086914,29.123003005981445,30.350778579711914,-2.67,-0.7,0.78,0.0
2016-01-14,180.08291625976562,106.30999755859376,44.10725402832031,103.0199966430664,100.95558166503906,19.77834129333496,106.67393493652344,42.91390228271485,9.229999542236328,56.42684555053711,18.417882919311523,29.47860908508301,30.83435249328613,1.65,-0.01,-0.41,0.0
2016-01-15,176.21722412109375,106.86000061035156,42.879920959472656,104.08000183105469,97.82223510742188,19.75855255126953,106.68362426757812,41.07848358154297,8.789999961853027,54.68024826049805,17.7116756439209,28.50297737121582,29.4627628326416,-2.14,0.42,-0.21,0.0
2016-01-19,176.45179748535156,106.76000213623048,43.2251091003418,103.9800033569336,98.03565979003906,19.857494354248047,106.72230529785156,41.60289001464844,8.489999771118164,52.45731735229492,17.66459846496582,28.740049362182614,29.99909019470215,-0.2,-1.34,-0.07,0.0
2016-01-20,174.1905517578125,106.55999755859376,41.57587814331055,105.37000274658205,97.73493194580078,19.58045959472656,106.73202514648438,40.07832336425781,8.239999771118164,54.719947814941406,17.419780731201172,28.129138946533203,29.53310585021973,-0.94,1.85,-1.24,0.0
2016-01-21,175.1663360595703,106.52999877929688,41.422462463378906,105.48999786376952,97.83193969726562,19.79813003540039,106.73202514648438,40.75801849365234,8.560000419616701,53.32068634033203,17.184377670288086,28.42091178894043,29.858413696289066,0.45,-0.49,0.01,0.0
2016-01-22,178.75994873046875,105.62999725341795,43.30181503295898,105.0,100.66455841064452,19.916858673095703,106.712646484375,41.93307113647461,9.270000457763672,54.88865661621094,17.890583038330078,29.14123725891113,30.36836242675781,2.08,0.22,-0.19,0.0
